档位,指标,v11_出自v12文,v12_出自v12文,v11_出自v13文,v12_出自v13文,v13_出自v13文,阅读注意
n,AP50-95,39.4,40.6,38.6,40.1,41.6,两篇论文对同一对照模型数字不完全一致；同表内比相对增益，勿跨表拼绝对排名
n,Latency_ms,1.5,1.64,1.53,1.83,1.97,T4 TensorRT FP16（各文自报）
s,AP50-95,46.9,48.0,45.8,47.1,48.0,
s,Latency_ms,2.5,2.61,2.56,2.82,2.98,
l,AP50-95,53.3,53.7,52.3,53.0,53.4,v13 无独立 m 档主表；此处用 l
l,Latency_ms,6.2,6.77,6.23,7.10,8.63,v13-L 延迟明显高于 v11-L
x,AP50-95,54.6,55.2,54.2,54.4,54.8,
x,Latency_ms,11.3,11.79,11.35,12.46,14.67,v13-X 延迟最高
